song,artist,played_at,timestamp
Drunk Enough to Say That I Love You,PLVTINUM,2021-02-28T17:03:20.363Z,2021-02-28
Animals (Acoustic),Matt Bloyd,2021-02-28T16:40:23.874Z,2021-02-28
Always,The Him,2021-02-28T16:40:18.484Z,2021-02-28
If You're Over Me - NOTD Remix,Years & Years,2021-02-28T16:37:03.710Z,2021-02-28
Wait,Martin Jensen,2021-02-28T16:33:32.453Z,2021-02-28
Tequila - R3HAB Remix,Dan + Shay,2021-02-28T16:30:46.837Z,2021-02-28
Need Somebody (Remix),Xuitcasecity,2021-02-28T16:28:08.975Z,2021-02-28
Malibu Nights,LANY,2021-02-28T16:25:28.463Z,2021-02-28
85%,Loote,2021-02-28T16:20:41.080Z,2021-02-28
High On Life (feat. Bonn),Martin Garrix,2021-02-28T16:17:46.495Z,2021-02-28
Hot2Touch,Felix Jaehn,2021-02-28T16:13:55.268Z,2021-02-28
Make You Remember (feat. Your Friends),Lazy Weekends,2021-02-28T16:11:13.946Z,2021-02-28
Still the Same (feat. Boy In Space),SHY Martin,2021-02-28T16:07:39.600Z,2021-02-28
No Promises (feat. Demi Lovato),Cheat Codes,2021-02-28T16:04:41.025Z,2021-02-28
Drunk Enough to Say That I Love You,PLVTINUM,2021-02-28T11:53:37.638Z,2021-02-28
Drunk Enough to Say That I Love You,PLVTINUM,2021-02-28T11:33:20.797Z,2021-02-28
